Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A818100,"8017 EVADEAN CIRCLE
AUSTIN 78745
(30.190211, -97.811723)",Yes (come to the shelter),06/01/2020,Cat,Domestic Shorthair Mix,Blue,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818100
A817910,"TECHNI CENTER DRIVE
BLUESTEIN AUSTIN 78721",Yes (come to the shelter),05/28/2020,Cat,Domestic Shorthair,Blue,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817910
A817845,"4105 BALBOA LN
AUSTIN 78727
(30.415788, -97.725913)",Yes (come to the shelter),05/27/2020,Dog,Labrador Retriever,Black/White,Neutered Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817845
A817846,"4105 BALBOA LN
AUSTIN 78727
(30.415788, -97.725913)",Yes (come to the shelter),05/27/2020,Dog,Labrador Retriever,Black/White,Neutered Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817846
A818075,"MORNING QUAIL DR AUSTIN 78758
(30.384311, -97.706726)",No (contact for more info),06/01/2020,Dog,Great Dane Mix,Black/White,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818075
A817851,"WEST GATE BOULEVARD AUSTIN 78745
(30.206782, -97.798214)",No (contact for more info),05/27/2020,Dog,Dachshund,Brown/White,Intact Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817851
A818018,"RESEARCH
AUSTIN 78758",Yes (come to the shelter),05/30/2020,Dog,Pit Bull/Chinese Sharpei,Brown/White,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818018
A817832,"2507 BURLESON
AUSTIN 78744",No (contact for more info),05/27/2020,Dog,Soft Coated Wheaten Terrier Mix,Tan,Spayed Female,13 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817832
A726307,"9308 PIONEER FOREST DRIVE
AUSTIN 78744
(30.159386, -97.780942)",Yes (come to the shelter),05/27/2020,Dog,Labrador Retriever Mix,Brown,Neutered Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A726307
A817841,"2101 EAST STASSNEY LANE
AUSTIN 78744
(30.194424, -97.757505)",No (contact for more info),05/27/2020,Dog,Pit Bull,Tricolor,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817841
A817869,"19317 JAMES MANOR ST
AUSTIN 78653
(30.352946, -97.512931)",No (contact for more info),05/27/2020,Cat,Domestic Shorthair,Black,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817869
A817842,"2109 PARKWAY
AUSTIN 78703
(30.28533, -97.754985)",No (contact for more info),05/27/2020,Dog,Bernese Mountain Dog,Tricolor,Unknown,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817842
A818099,"PAYTON GIN ROAD
AUSTIN 78758",Yes (come to the shelter),06/01/2020,Cat,Domestic Shorthair,Black/White,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818099
A817859,"3427 PARKER LANE
AUSTIN 78741
(30.220429, -97.742566)",Yes (come to the shelter),05/27/2020,Dog,American Staffordshire Terrier,Blue/White,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817859
A817960,"SIERRA WIND LN 78621
(30.333853, -97.369166)",Yes (come to the shelter),05/29/2020,Cat,Domestic Shorthair,Orange,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817960
A817840,"1100 WEST ANDERSON LANE
AUSTIN 78757
(30.349342, -97.716618)",No (contact for more info),05/27/2020,Dog,Chihuahua Shorthair,Black/White,Unknown,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817840
A817959,"908 GLEN OAK DRIVE
AUSTIN 78745
(30.215744, -97.782373)",No (contact for more info),05/29/2020,Dog,Labrador Retriever Mix,Buff,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817959
