Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A818249,"4821 EAST RIVERSIDE DRIVE
AUSTIN 78741
(30.231576, -97.717457)",No (contact for more info),06/04/2020,Dog,Papillon,Tricolor,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818249
A818383,"4434 FRONTIER TRAIL
AUSTIN 78745
(30.23124, -97.795476)",Yes (come to the shelter),06/08/2020,Dog,Pit Bull,White/Brown,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818383
A818250,"12414 BEARTRAP LANE
AUSTIN 78729
(30.443349, -97.767966)",Yes (come to the shelter),06/04/2020,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818250
A817206,"LEVELS TRAIL
PFLUGERVILLE 78660",Yes (come to the shelter),06/02/2020,Dog,German Shepherd/Boxer,Brown/Black,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A817206
A818254,"12414 BEARTRAP LANE
AUSTIN 78729
(30.443349, -97.767966)",Yes (come to the shelter),06/04/2020,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818254
A818150,"RESEARCH
AUSTIN 78753",No (contact for more info),06/02/2020,Cat,Domestic Longhair,Blue/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818150
A818149,"8300 RESEARCH
AUSTIN 78757",Yes (come to the shelter),06/02/2020,Dog,Border Collie/German Shepherd,Black/Tan,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818149
A818157,"6911 IDEA RD
AUSTIN 78741
(30.224086, -97.697391)",Yes (come to the shelter),06/03/2020,Dog,Pit Bull,White/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818157
A818203,"1602 E M FRANKLIN AVENUE
AUSTIN 78721
(30.281015, -97.69538)",Yes (come to the shelter),06/03/2020,Dog,Pit Bull,Brown Brindle/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818203
A818267,"1009 WEST DITTMAR ROAD
AUSTIN 78745
(30.185674, -97.801794)",Yes (come to the shelter),06/04/2020,Dog,Border Collie,Black/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818267
A818274,"NORTH LAMAR BOULEVARD
BOUELEVARD AUSTIN 78753",Yes (come to the shelter),06/04/2020,Cat,Domestic Shorthair,Black,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A818274
A818183,"12221 MUSTANG DRIVE78610
(30.061988, -97.707507)",No (contact for more info),06/03/2020,Dog,Beagle Mix,Red/White,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818183
A818251,"12414 BEARTRAP LANE
AUSTIN 78729
(30.443349, -97.767966)",Yes (come to the shelter),06/04/2020,Cat,Domestic Medium Hair,Brown Tabby/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818251
A818252,"12414 BEARTRAP LANE
AUSTIN 78729
(30.443349, -97.767966)",Yes (come to the shelter),06/04/2020,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818252
A818132,4715 SOUTH LAMAR BOULEVARD SUNSET VALLEY78745,Yes (come to the shelter),06/02/2020,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818132
A818186,"11625 GEORGIAN OAKS DRIVE
AUSTIN 78739
(30.185927, -97.904505)",No (contact for more info),06/03/2020,Cat,Domestic Shorthair Mix,Blue,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818186
A818253,"12414 BEARTRAP LANE
AUSTIN 78729
(30.443349, -97.767966)",Yes (come to the shelter),06/04/2020,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818253
A818272,"11740 GEMMER STREET78617
(30.158717, -97.644961)",Yes (come to the shelter),06/04/2020,Dog,Anatolian Shepherd,Tan/White,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818272
A818191,290 MANOR78653,Yes (come to the shelter),06/03/2020,Dog,Plott Hound,Tricolor,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818191
A818325,"2313 SANTA RITA STREET
AUSTIN 78702
(30.257149, -97.717894)",Yes (come to the shelter),06/05/2020,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818325
A818214,"AUSTIN 78741
(30.227985, -97.716971)",No (contact for more info),06/03/2020,Cat,Domestic Shorthair Mix,Blue/White,Neutered Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818214
A818218,"LADERA VISTA DRIVE
AUSTIN 78759",No (contact for more info),06/03/2020,Dog,Pit Bull/Australian Cattle Dog,White/Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818218
A818326,"2313 SANTA RITA STREET
AUSTIN 78702
(30.257149, -97.717894)",Yes (come to the shelter),06/05/2020,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818326
A818330,"4505 FRANKLIN PARK DRIVE
AUSTIN 78744
(30.198737, -97.743675)",No (contact for more info),06/05/2020,Cat,Domestic Shorthair Mix,Gray/White,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818330
A818332,"12138 NORTH LAMAR
AUSTIN 78753
(30.398419, -97.679479)",No (contact for more info),06/05/2020,Dog,Shih Tzu,White/Black,Intact Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A818332
A816452,"15010 FM 812 ROAD
AUSTIN 78617
(30.110928, -97.623849)",Yes (come to the shelter),06/05/2020,Dog,Labrador Retriever/Australian Cattle Dog,Brown/White,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A816452
A818329,"1036 LIBERTY PARK DRIVE
AUSTIN 78746
(30.266382, -97.789737)",No (contact for more info),06/05/2020,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A818329
A818328,"1036 LIBERTY PARK DRIVE
AUSTIN 78746
(30.266382, -97.789737)",No (contact for more info),06/05/2020,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A818328
